0,608,375,60,120
1,606,377,60,120
2,604,379,60,120
3,602,381,60,120
4,600,383,60,120
5,598,385,60,120
6,596,387,60,120
7,594,389,60,120
8,592,391,60,120
9,590,393,60,120
10,588,395,60,120
11,586,397,60,120
12,584,399,60,120
13,582,401,60,120
14,580,403,60,120
15,578,405,60,120
16,576,407,60,120
17,574,409,60,120
18,572,411,60,120
19,570,413,60,120
20,568,415,60,120
21,566,417,60,120
22,564,419,60,120
23,562,421,60,120
24,560,423,60,120
25,558,425,60,120
26,556,427,60,120
27,554,429,60,120
28,552,431,60,120
29,550,433,60,120
30,548,435,60,120
31,546,437,60,120
32,544,439,60,120
33,542,441,60,120
34,540,443,60,120
35,538,445,60,120
36,536,447,60,120
37,534,449,60,120
38,532,451,60,120
39,530,453,60,120
40,528,455,60,120
41,526,457,60,120
42,524,459,60,120
43,522,461,60,120
44,520,463,60,120
45,518,465,60,120
46,516,467,60,120
47,514,469,60,120
48,512,471,60,120
49,510,473,60,120
50,508,475,60,120
51,506,477,60,120
52,504,479,60,120
53,502,481,60,120
54,500,483,60,120
55,498,485,60,120
56,496,487,60,120
57,494,489,60,120
58,492,491,60,120
59,490,493,60,120
60,488,495,60,120
61,486,497,60,120
62,484,499,60,120
63,482,501,60,120
64,480,503,60,120
65,478,505,60,120
66,476,507,60,120
67,474,509,60,120
68,472,511,60,120
69,470,513,60,120
70,468,515,60,120
71,466,517,60,120
72,464,519,60,120
73,462,521,60,120
74,460,523,60,120
75,458,525,60,120
76,456,527,60,120
77,454,529,60,120
78,452,531,60,120
79,450,533,60,120
80,448,535,60,120
81,446,537,60,120
82,444,539,60,120
83,442,541,60,120
84,440,543,60,120
85,438,545,60,120
86,436,547,60,120
87,434,549,60,120
88,432,551,60,120
89,430,553,60,120
90,428,555,60,120
91,426,557,60,120
92,424,559,60,120
93,422,561,60,120
94,420,563,60,120
95,418,565,60,120
96,416,567,60,120
97,414,569,60,120
98,412,571,60,120
99,410,573,60,120
100,408,575,60,120
101,406,577,60,120
102,404,579,60,120
103,402,581,60,120
104,400,583,60,120
105,398,585,60,120
106,396,587,60,120
107,394,589,60,120
108,392,591,60,120
109,390,593,60,120
110,388,595,60,120
111,386,597,60,120
112,384,599,60,120
113,382,601,60,120
114,380,599,60,120
115,378,597,60,120
116,376,595,60,120
117,374,593,60,120
118,372,591,60,120
119,370,589,60,120
120,368,587,60,120
121,366,585,60,120
122,364,583,60,120
123,362,581,60,120
124,360,579,60,120
